,종목명,대분류명,소분류명,검색어,종목코드
0,SK이노베이션,에너지,에너지,에너지 기술,096770
1,S-Oil,에너지,에너지,에너지 기술,010950
2,HD현대,에너지,에너지,에너지 기술,267250
4,씨에스윈드,에너지,에너지,에너지 기술,112610
35,LG화학,소재,소재,소재 기술,051910
36,POSCO홀딩스,소재,소재,소재 기술,005490
37,포스코케미칼,소재,소재,소재 기술,003670
39,고려아연,소재,소재,소재 기술,010130
40,한화솔루션,소재,소재,소재 기술,009830
41,롯데케미칼,소재,소재,소재 기술,011170
42,현대제철,소재,소재,소재 기술,004020
43,금호석유,소재,소재,소재 기술,011780
44,SKC,소재,소재,소재 기술,011790
45,코스모신소재,소재,소재,소재 기술,005070
275,삼성물산,산업재,자본재,자본재 산업,028260
278,두산에너빌리티,산업재,자본재,자본재 산업,034020
279,삼성엔지니어링,산업재,자본재,자본재 산업,028050
280,한국조선해양,산업재,자본재,자본재 산업,009540
281,한화에어로스페이스,산업재,자본재,자본재 산업,012450
282,한국항공우주,산업재,자본재,자본재 산업,047810
283,삼성중공업,산업재,자본재,자본재 산업,010140
284,현대건설,산업재,자본재,자본재 산업,000720
285,두산밥캣,산업재,자본재,자본재 산업,241560
288,포스코인터내셔널,산업재,자본재,자본재 산업,047050
289,현대중공업,산업재,자본재,자본재 산업,329180
601,HMM,산업재,운송,운송 산업,011200
602,대한항공,산업재,운송,운송 산업,003490
603,맥쿼리인프라,산업재,운송,운송 산업,088980
604,현대글로비스,산업재,운송,운송 산업,086280
605,한진칼,산업재,운송,운송 산업,180640
606,팬오션,산업재,운송,운송 산업,028670
644,현대차,경기관련소비재,자동차와부품,"자동차 산업,부품 산업",005380
645,기아,경기관련소비재,자동차와부품,"자동차 산업,부품 산업",000270
646,현대모비스,경기관련소비재,자동차와부품,"자동차 산업,부품 산업",012330
647,한국타이어앤테크놀로지,경기관련소비재,자동차와부품,"자동차 산업,부품 산업",161390
649,한온시스템,경기관련소비재,자동차와부품,"자동차 산업,부품 산업",018880
781,LG생활건강,경기관련소비재,내구소비재와의류,"내구소비재 산업,의류 산업",051900
782,아모레퍼시픽,경기관련소비재,내구소비재와의류,"내구소비재 산업,의류 산업",090430
783,코웨이,경기관련소비재,내구소비재와의류,"내구소비재 산업,의류 산업",021240
784,F&F,경기관련소비재,내구소비재와의류,"내구소비재 산업,의류 산업",383220
787,아모레G,경기관련소비재,내구소비재와의류,"내구소비재 산업,의류 산업",002790
933,강원랜드,경기관련소비재,"호텔,레스토랑,레저등","호텔 산업,레스토랑 산업,레저 산업",035250
950,이마트,경기관련소비재,소매(유통),유통 산업,139480
952,BGF리테일,경기관련소비재,소매(유통),유통 산업,282330
1009,KT&G,필수소비재,"식품,음료,담배","식품 산업,음료 산업,담배 산업",033780
1010,오리온,필수소비재,"식품,음료,담배","식품 산업,음료 산업,담배 산업",271560
1011,CJ제일제당,필수소비재,"식품,음료,담배","식품 산업,음료 산업,담배 산업",097950
1013,롯데지주,필수소비재,"식품,음료,담배","식품 산업,음료 산업,담배 산업",004990
1189,셀트리온,건강관리,제약과생물공학,"제약 기술,생명공학 기술",068270
1190,삼성바이오로직스,건강관리,제약과생물공학,"제약 기술,생명공학 기술",207940
1193,유한양행,건강관리,제약과생물공학,"제약 기술,생명공학 기술",000100
1194,한미약품,건강관리,제약과생물공학,"제약 기술,생명공학 기술",128940
1195,SK바이오사이언스,건강관리,제약과생물공학,"제약 기술,생명공학 기술",302440
1199,SK바이오팜,건강관리,제약과생물공학,"제약 기술,생명공학 기술",326030
1415,KB금융,금융,은행,은행,105560
1416,신한지주,금융,은행,은행,055550
1417,하나금융지주,금융,은행,은행,086790
1418,우리금융지주,금융,은행,은행,316140
1419,카카오뱅크,금융,은행,은행,323410
1420,기업은행,금융,은행,은행,024110
1426,한국금융지주,금융,증권,증권,071050
1427,미래에셋증권,금융,증권,증권,006800
1428,메리츠금융지주,금융,증권,증권,138040
1430,메리츠증권,금융,증권,증권,008560
1451,삼성카드,금융,다각화된금융,금융 산업,029780
1548,삼성화재,금융,보험,보험 산업,000810
1549,삼성생명,금융,보험,보험 산업,032830
1550,DB손해보험,금융,보험,보험 산업,005830
1551,현대해상,금융,보험,보험 산업,001450
1587,삼성에스디에스,IT,소프트웨어와서비스,소프트웨어 기술,018260
1588,카카오페이,IT,소프트웨어와서비스,소프트웨어 기술,377300
1590,현대오토에버,IT,소프트웨어와서비스,소프트웨어 기술,307950
1729,삼성전기,IT,기술하드웨어와장비,하드웨어 기술,009150
1730,LG이노텍,IT,기술하드웨어와장비,하드웨어 기술,011070
1948,삼성전자,IT,반도체와반도체장비,반도체,005930
1949,SK하이닉스,IT,반도체와반도체장비,반도체,000660
1950,SK스퀘어,IT,반도체와반도체장비,반도체,402340
2085,삼성SDI,IT,전기와전기제품,전기,006400
2086,LG에너지솔루션,IT,전기와전기제품,전기,373220
2087,LG전자,IT,전기와전기제품,전기,066570
2090,SK아이이테크놀로지,IT,전기와전기제품,전기,361610
2145,LG디스플레이,IT,디스플레이,디스플레이 ,034220
2228,SK텔레콤,커뮤니케이션서비스,전기통신서비스,통신,017670
2230,LG유플러스,커뮤니케이션서비스,전기통신서비스,통신,032640
2235,NAVER,커뮤니케이션서비스,미디어와엔터테인먼트,"미디어 산업,엔터테인먼트 산업",035420
2236,카카오,커뮤니케이션서비스,미디어와엔터테인먼트,"미디어 산업,엔터테인먼트 산업",035720
2237,엔씨소프트,커뮤니케이션서비스,미디어와엔터테인먼트,"미디어 산업,엔터테인먼트 산업",036570
2238,크래프톤,커뮤니케이션서비스,미디어와엔터테인먼트,"미디어 산업,엔터테인먼트 산업",259960
2239,하이브,커뮤니케이션서비스,미디어와엔터테인먼트,"미디어 산업,엔터테인먼트 산업",352820
2242,넷마블,커뮤니케이션서비스,미디어와엔터테인먼트,"미디어 산업,엔터테인먼트 산업",251270
2349,한국전력,유틸리티,유틸리티,전기,015760
